;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10;Topic 11;Topic 12;Topic 13;Topic 14;Topic 15;Topic 16;Topic 17;Topic 18;Topic 19;Topic 20;Topic 21;Topic 22;Topic 23;Topic 24;Topic 25;Topic 26;Topic 27;Topic 28;Topic 29;Topic 30;Topic 31;Topic 32;Topic 33;Topic 34;Topic 35;Topic 36;Topic 37;Topic 38;Topic 39;Topic 40;Topic 41;Topic 42;Topic 43;Topic 44;Topic 45;Topic 46;Topic 47;Topic 48;Topic 49;Topic 50;Topic 51;Topic 52;Topic 53;Topic 54;Topic 55;Topic 56;Topic 57;Topic 58;Topic 59;Topic 60;Topic 61;Topic 62;Topic 63;Topic 64;Topic 65;Topic 66;Topic 67;Topic 68;Topic 69;Topic 70;Topic 71;Topic 72;Topic 73;Topic 74;Topic 75;Topic 76;Topic 77;Topic 78;Topic 79;Topic 80;Topic 81;Topic 82;Topic 83
assembly;0,03%;0,46%;0,00%;0,20%;1,05%;0,00%;1,55%;0,50%;3,01%;0,00%;1,54%;0,00%;1,24%;0,00%;0,00%;0,08%;2,21%;0,04%;2,07%;1,40%;4,30%;0,08%;2,04%;1,62%;0,06%;0,02%;0,00%;2,74%;0,00%;0,01%;0,00%;0,59%;0,02%;0,35%;1,07%;0,17%;3,67%;0,01%;1,33%;0,87%;0,00%;1,57%;0,00%;0,01%;0,00%;0,00%;0,00%;3,36%;0,21%;4,69%;2,55%;0,00%;0,00%;0,03%;0,01%;0,03%;0,00%;0,00%;2,46%;0,14%;0,00%;2,31%;0,13%;0,01%;0,00%;0,15%;2,26%;0,00%;24,29%;0,00%;4,09%;0,71%;0,02%;0,04%;0,00%;0,00%;0,22%;0,00%;0,00%;3,53%;4,48%;0,00%;3,19%
output;0,10%;0,78%;0,87%;0,00%;0,41%;0,00%;0,40%;0,54%;0,31%;0,86%;0,00%;0,05%;1,85%;0,43%;1,80%;0,64%;2,29%;2,11%;0,08%;0,00%;3,15%;0,08%;0,00%;0,98%;0,00%;0,44%;6,55%;0,55%;0,80%;1,28%;1,65%;0,00%;2,52%;0,00%;1,82%;1,32%;0,00%;6,85%;0,00%;1,22%;0,20%;2,80%;0,72%;2,61%;0,38%;0,47%;0,01%;0,00%;0,05%;0,98%;0,65%;0,14%;0,31%;1,08%;1,16%;0,00%;0,48%;0,37%;0,00%;0,32%;3,47%;0,00%;0,00%;0,18%;0,00%;0,00%;0,00%;0,12%;1,74%;4,79%;0,00%;0,46%;0,00%;0,00%;0,00%;1,65%;0,36%;0,00%;1,59%;2,08%;0,95%;0,00%;2,13%
transmit;0,32%;0,04%;0,10%;0,00%;0,04%;0,00%;0,47%;0,00%;0,00%;0,02%;0,00%;0,00%;0,13%;0,55%;0,74%;0,46%;0,25%;0,27%;0,00%;0,21%;0,02%;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,31%;9,10%;0,54%;1,34%;0,00%;0,51%;0,00%;0,56%;0,00%;0,00%;0,03%;0,14%;0,00%;0,04%;0,06%;0,27%;6,55%;0,07%;0,00%;0,00%;0,00%;0,00%;0,27%;0,08%;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%;0,00%;0,00%;0,00%;0,04%;0,00%;0,00%;0,33%;0,00%;0,13%;0,05%;0,12%;1,08%;0,00%;0,00%;0,00%;1,76%;0,00%;0,00%;0,16%;0,21%;0,00%;0,02%;0,00%;0,02%;0,00%;0,25%
speed;1,00%;0,00%;9,15%;0,02%;1,04%;0,83%;1,58%;0,03%;0,39%;3,46%;0,38%;0,14%;0,00%;0,00%;0,24%;0,99%;0,24%;1,69%;0,00%;0,00%;0,01%;0,01%;0,05%;0,00%;0,00%;3,05%;3,51%;3,37%;0,24%;1,57%;1,75%;0,00%;0,56%;0,07%;0,00%;0,48%;0,00%;0,34%;1,04%;0,00%;9,14%;3,09%;0,80%;1,77%;3,54%;0,01%;3,00%;0,00%;0,01%;0,80%;0,00%;0,00%;0,25%;3,00%;0,01%;0,01%;0,06%;0,23%;0,00%;0,36%;0,08%;0,00%;0,00%;0,04%;0,00%;0,06%;0,01%;0,44%;0,44%;0,20%;0,00%;0,07%;0,00%;0,00%;0,00%;1,67%;0,20%;0,00%;0,49%;0,04%;0,00%;0,31%;1,84%
device;0,93%;1,74%;0,15%;0,00%;0,29%;0,38%;0,01%;0,00%;0,17%;0,00%;0,00%;0,00%;0,00%;2,99%;7,95%;0,82%;0,07%;0,71%;0,00%;1,27%;0,30%;0,02%;0,00%;0,14%;0,11%;0,08%;0,46%;0,37%;4,22%;0,10%;4,53%;0,00%;0,02%;0,01%;0,00%;0,04%;0,23%;1,29%;0,12%;0,00%;0,08%;5,42%;4,63%;2,40%;0,06%;1,02%;0,00%;0,00%;1,74%;0,23%;0,01%;0,18%;0,60%;0,01%;0,00%;2,08%;1,57%;0,03%;0,00%;0,00%;0,01%;0,00%;1,99%;0,01%;2,45%;0,00%;0,11%;0,00%;0,83%;0,00%;0,10%;0,18%;1,53%;1,80%;0,00%;0,06%;0,02%;2,38%;3,21%;0,24%;0,08%;2,53%;0,32%
gearset;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,00%;0,17%;0,00%;0,07%;0,00%;0,00%;0,00%;0,11%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,62%;0,13%;0,00%;9,86%;0,00%;0,01%;0,00%;0,00%;0,05%;0,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;8,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,70%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,91%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;26,92%
mechanism;0,08%;0,11%;0,01%;0,02%;0,10%;0,01%;4,02%;0,00%;0,06%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,15%;0,06%;0,00%;0,10%;0,00%;0,09%;0,88%;0,06%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,17%;0,21%;0,00%;0,00%;0,01%;0,23%;0,00%;0,25%;0,00%;0,00%;0,00%;0,00%;0,14%;0,00%;3,60%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;13,17%;0,00%;0,00%;0,01%;0,08%;0,14%;1,25%;3,65%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,00%;0,10%;0,91%;0,00%;0,00%;0,03%;0,00%;39,38%;0,00%;0,02%;0,00%;0,01%;3,08%;0,20%;0,00%;0,00%
include;1,15%;1,10%;1,77%;1,72%;1,41%;1,01%;1,38%;1,20%;0,30%;0,69%;0,69%;0,90%;0,54%;0,13%;1,57%;2,17%;1,19%;0,42%;3,88%;0,99%;1,94%;0,85%;1,23%;1,66%;2,11%;1,27%;0,86%;2,18%;0,52%;1,34%;0,98%;3,19%;0,84%;0,56%;1,34%;0,23%;0,79%;0,88%;0,86%;1,56%;0,32%;0,72%;1,68%;0,56%;1,47%;1,11%;3,58%;4,31%;1,65%;2,38%;2,51%;1,90%;0,23%;0,33%;0,84%;0,99%;0,36%;0,46%;0,58%;0,82%;0,95%;1,52%;2,44%;0,96%;3,26%;1,94%;1,14%;1,09%;1,85%;1,41%;2,65%;0,57%;0,59%;1,43%;1,78%;0,91%;1,54%;2,28%;3,67%;0,18%;1,58%;0,94%;1,81%
continuously;0,00%;0,00%;0,00%;0,00%;0,11%;0,00%;0,68%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,15%;0,00%;0,02%;0,08%;0,20%;0,05%;0,04%;0,05%;0,00%;0,00%;0,00%;0,12%;0,00%;0,06%;0,01%;0,00%;3,76%;0,00%;0,04%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;4,73%;0,00%;3,87%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,32%;0,00%;0,00%;0,04%;0,08%;0,00%;0,46%;0,50%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,11%;0,11%;0,00%;0,00%;0,00%;0,00%;0,18%;0,00%;0,12%;0,02%;0,00%;0,00%;0,00%;0,00%;0,08%;1,90%
engageable;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,31%;0,00%;0,15%;0,04%;0,00%;0,00%;0,12%;0,00%;1,69%;0,44%;0,00%;0,04%;0,02%;0,00%;0,12%;0,03%;0,02%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,23%;0,00%;0,00%;0,00%;0,00%;1,62%;0,01%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;5,48%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,00%;0,07%;0,00%;0,00%;0,00%;0,00%;0,00%;1,40%;1,07%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,29%;1,24%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,02%;0,00%;2,85%;0,00%;0,00%;0,00%;1,03%
