;0;;
1;-0,482766326;#DIV/0!;
2;-0,74456406;-0,542286651;
3;-0,882384061;-0,185101603;
4;-0,920189101;-0,042844201;
5;-0,942328467;-0,024059583;
6;-1,00859113;-0,07031801;
7;-1,088357799;-0,079087221;
8;-1,014103309;0,068226175;
9;-1,00513436;0,008844216;
10;-1,235281248;-0,228971266;
11;-1,410528587;-0,141868372;
12;-1,310664064;0,070799362;
13;-1,44974083;-0,10611168;
14;-1,449810185;-4,78395E-05;
15;-1,474022581;-0,01670039;
16;-1,505388374;-0,021279045;
17;-1,421802352;0,055524556;
18;-1,275944518;0,102586575;
19;-1,401478886;-0,098385444;
20;-1,518278688;-0,083340394;
21;-1,565468813;-0,031081332;
22;-1,60944164;-0,028089239;
23;-1,686073304;-0,04761382;
24;-1,573206633;0,066940548;
25;-1,734017199;-0,102218337;
26;-1,721749326;0,007074828;
27;-1,844246779;-0,07114709;
28;-1,761425522;0,044907904;
29;-1,865543453;-0,059110039;
30;-1,996238194;-0,070057195;
31;-1,895703481;0,050362083;
32;-2,121319185;-0,119014238;
33;-1,880178571;0,113674838;
34;-2,024641184;-0,076834517;
35;-2,061872752;-0,018389218;
36;-2,082224453;-0,009870493;
37;-2,05090029;0,015043605;
38;-2,127515477;-0,037356856;
39;-1,934160735;0,090882884;
40;-2,142940422;-0,107943297;
41;-2,213617404;-0,03298131;
42;-1,98482243;0,103357958;
43;-2,046442769;-0,031045769;
44;-2,083340416;-0,018030139;
45;-2,16064827;-0,037107644;
46;-2,07616986;0,039098641;
47;-2,143919182;-0,032631878;
48;-2,269727963;-0,058681681;
49;-2,140546231;0,056915073;
50;-2,422981041;-0,131945204;
51;-2,234190658;0,077916575;
52;-2,536205489;-0,135178629;
53;-2,435050747;0,039884285;
54;-2,386722418;0,019846949;
55;-2,338500155;0,020204387;
56;-2,24492972;0,040013012;
57;-2,370682978;-0,056016568;
58;-2,275639205;0,040091304;
59;-2,200470015;0,033032121;
60;-2,286753979;-0,039211606;
61;-2,322639973;-0,015692984;
62;-2,363261003;-0,017489163;
63;-2,303516893;0,025280369;
64;-2,411395656;-0,0468322;
65;-2,446849912;-0,014702795;
66;-2,447746849;-0,000366568;
67;-2,382984398;0,026457986;
68;-2,36714859;0,006645368;
69;-2,460147931;-0,039287496;
70;-2,30204492;0,064265652;
71;-2,372583684;-0,030641784;
72;-2,467613451;-0,040053284;
73;-2,423172224;0,018009801;
74;-2,445562732;-0,009240164;
75;-2,374839609;0,028918957;
76;-2,455751108;-0,034070301;
77;-2,37854228;0,031440005;
78;-2,660931912;-0,118723823;
79;-2,615744975;0,016981621;
80;-2,417768447;0,075686479;
81;-2,385656683;0,013281571;
82;-2,899711455;-0,215477263;
83;-2,40153582;0,171801796;zweitbestes aber gleiches ergebnis wie in 10 word
84;-2,613351941;-0,088200276;
85;-2,848284687;-0,089897094;
86;-2,536498905;0,109464403;
87;-2,359467012;0,069793798;
88;-2,823188411;-0,196536504;
89;-2,333217113;0,173552462;bestes
90;-2,652826529;-0,136982287;
91;-2,4098577;0,091588661;
92;-2,633862334;-0,092953469;
93;-2,483456994;0,05710448;
94;-2,643048232;-0,064261728;
95;-2,390358118;0,095605563;
96;-2,695959945;-0,127847717;
97;-2,628989873;0,0248409;
98;-2,546763598;0,031276756;
99;-3,114190035;-0,222802948;
100;-3,040036393;0,023811534;
