;0
1;49,049652178206536
2;38,46072136609964
3;35,31999546570294
4;34,28606963070746
5;32,64480426865847
6;32,046703718643705
7;30,901101145489374
8;29,85977042443703
9;29,378441054808384
10;29,52934561191059
11;28,936522436045447
12;27,959658872718204
13;27,58195860972834
14;27,258645071818822
15;26,57857381683081
16;26,396204235060175
17;26,264137004491406
18;26,0683290108939
19;25,880652716889895
20;25,635642721040384
21;25,48456825642814
22;25,34285094793505
23;25,10584475122486
24;24,998385983178782
25;24,946470573724802
26;24,81334224393218
27;24,63472109612586
28;24,509115712574005
29;24,387407505173528
30;24,297929862279247
31;24,381599288004562
32;24,220920315036775
33;24,016990328152104
34;23,95836944842649
35;23,816261457590343
36;23,71606545041428
37;23,65995066453414
38;23,55917673153151
39;23,455375707541222
40;23,329511034337038
41;23,22752232442131
42;22,982372993905823
43;22,972296535840968
44;23,2186289610003
45;23,17033283622533
46;23,101235714904252
47;23,028670156729838
48;22,994959752289486
49;22,920687605054678
50;22,991102186528636
51;22,863126037421324
52;22,89667008430988
53;22,861791384433978
54;22,622510598834914
55;22,581176096159812
56;22,530586311424734
57;22,503816458882785
58;22,458326582644183
59;22,382421968645932
60;22,28320397627356
61;22,258992652506233
62;22,21988068063332
63;22,206799959939875
64;22,141011063819686
65;22,0828454392178
66;22,018392466816394
67;21,910103635599796
68;21,847775224162497
69;21,786532191076173
70;21,75272475112401
71;21,710067995242262
72;21,65166842033748
73;21,625142944706866
74;21,565663048368634
75;21,536464622900414
76;21,513630815808153
77;21,49968079469282
78;21,480900971152
79;21,422729960352065
80;21,360877787540506
81;21,36009645416162
82;21,405575453604175
83;21,275820450331633
84;21,269247246142765
85;21,285382467313234
86;21,263002236917632
87;21,12557061000771
88;21,2455795358033
89;21,0900818353419
90;21,09255877616286
91;21,059113897941526
92;20,99648194422863
93;21,07792770855946
94;20,97894022722022
95;20,93176598915498
96;20,920622066371475
97;20,979817571996705
98;20,850649514869662
99;20,999592367026562
100;20,85426381815009
